question,answer
What is AI?,Artificial Intelligence enables machines to perform tasks that normally require human intelligence.
What is Python?,Python is a high level programming language used for many applications.
Who developed Python?,Python was created by Guido van Rossum.
What is Machine Learning?,Machine Learning allows computers to learn from data without explicit programming.
What is Deep Learning?,Deep Learning is a branch of Machine Learning based on neural networks.
What is NLP?,Natural Language Processing helps computers understand human language.
What is Data Science?,Data Science involves extracting insights from data.
What is Flask?,Flask is a lightweight web framework for Python.
What is Django?,Django is a high level web framework for Python.
What is Pandas?,Pandas is a Python library used for data analysis.
What is NumPy?,NumPy is a Python library for numerical computations.
What is Scikit Learn?,Scikit Learn is a machine learning library for Python.
What is TensorFlow?,TensorFlow is an open source framework for machine learning.
What is a chatbot?,A chatbot is a program that simulates conversation with users.
What is a database?,A database is a structured collection of data.
What is SQL?,SQL is a language used to manage relational databases.
What is a primary key?,A primary key uniquely identifies a record in a table.
What is cloud computing?,Cloud computing provides computing services over the internet.
What is data engineering?,Data engineering focuses on building systems for collecting and processing data.
What is big data?,Big data refers to extremely large datasets that require advanced tools for processing.
What is data visualization?,Data visualization presents information using charts and graphs.
What is an API?,An API allows different software applications to communicate with each other.
What is Git?,Git is a version control system used to track code changes.
What is GitHub?,GitHub is a platform for hosting and sharing Git repositories.
What is HTML?,HTML is the standard language used to create web pages.
What is CSS?,CSS is used to style and design web pages.
What is JavaScript?,JavaScript is a programming language used to create interactive web pages.
What is a web application?,A web application is software that runs in a web browser.
What is cybersecurity?,Cybersecurity protects systems and data from digital threats.
What is an operating system?,An operating system manages computer hardware and software resources.